station_code,lat,lng,old_district,old_province,new_district,new_province,region,technician
C.CTH0124,10.035285,105.776184,Ninh Kieu,Cần Thơ,Phường Ninh Kiều,Thành phố Cần Thơ,Mtay,Nguyễn Quốc Cường
C.DLA0263,12.72556,108.100128,Buon Ma Thuot,Đắk Lắk,Phường Tân An,Tỉnh Đắk Lắk,Tây Nguyên,Đắk Lắk
C.DLA0256,12.662863,108.032356,Buon Ma Thuot,Đắk Lắk,Phường Buôn Ma Thuột,Tỉnh Đắk Lắk,Tây Nguyên,Đắk Lắk
C.KHO0078,12.708554,109.227386,Van Ninh,Khánh Hòa,Xã Vạn Thắng,Tỉnh Khánh Hoà,Tây Nguyên,Khánh Hòa
C.HPH0336,20.767933,106.374657,Ninh Giang,Hải Dương,Xã Vĩnh Lại,Thành phố Hải Phòng,,
C.DNI0500,10.955857,106.804512,Bien Hoa,Đồng Nai,Phường Trấn Biên,Thành phố Đồng Nai,DNI-BPH,Phạm Quý Bôn
C.DLA0261,12.688362,108.054039,Buon Ma Thuot,Đắk Lắk,Phường Buôn Ma Thuột,Tỉnh Đắk Lắk,Tây Nguyên,Đắk Lắk
C.HYE7001,20.587931,106.2257,Hung Ha,Thái Bình,Xã Hưng Hà,Tỉnh Hưng Yên,,
C.HNO7001,20.990566,105.78923,Nam Tu Liem,Hà Nội	,Phường Đại Mỗ,Thành phố Hà Nội,,
C.HCM1188,10.884584,106.60099,Hoc Mon,Ho Chi Minh,Xã Đông Thạnh,Thành phố Hồ Chí Minh,HCM,Nguyễn Đức Huy
C.BNI0303,21.308828,106.043732,Viet Yen,Bắc Giang,Phường Tự Lạn,Tỉnh Bắc Ninh,,
C.BNI0232,21.083229,105.964478,Tu Son,Hà Nội	,Phường Từ Sơn,Tỉnh Bắc Ninh,,
C.KHO0180,11.926624,109.144989,Cam Ranh,Khánh Hòa,Phường Cam Ranh,Tỉnh Khánh Hoà,Tây Nguyên,Khánh Hòa
C.CMA0078,9.28433,105.635643,Hoa Binh,Bạc Liêu,Xã Hoà Bình,Tỉnh Cà Mau,Mtay,Nguyễn Như Ý
C.HNO7002,21.032694,105.652359,Quoc Oai,Hà Nội	,Xã Quốc Oai,Thành phố Hà Nội,,
C.HCM1137,10.784294,106.761292,Quan 2,Ho Chi Minh,Phường Bình Trưng,Thành phố Hồ Chí Minh,HCM,Phạm Gia Khiêm
C.BNI0312,21.144093,106.051651,Bac Ninh,Bắc Ninh,Phường Hạp Lĩnh,Tỉnh Bắc Ninh,,
C.HPH0358,20.797537,106.623894,Kien An,Hải Phòng,Phường Phù Liễn,Thành phố Hải Phòng,,
C.HNO1760,20.995909,105.788826,Nam Tu Liem,Hà Nội	,Phường Đại Mỗ,Thành phố Hà Nội,,
C.HCM1293,11.020968,106.635323,Thu Dau Mot,Bình Dương,Phường Phú An,Thành phố Hồ Chí Minh,KV không quản lý,Bình Dương
C.HNO1927,20.974442,105.620613,Quoc Oai,Hà Nội	,Xã Kiều Phú,Thành phố Hà Nội,,
C.PTH0227,21.314676,105.632233,Vinh Yen,Vĩnh Phúc,Phường Vĩnh Phúc,Tỉnh Phú Thọ,,
C.THO0505,19.793669,105.869522,Hoang Hoa,Thanh Hóa,Xã Hoằng Châu,Tỉnh Thanh Hoá,,
C.TNG7001,21.604687,105.906044,Dong Hy,Thái Nguyên,Xã Nam Hoà,Tỉnh Thái Nguyên,,
C.GLA0197,13.761629,107.899155,Chu Prong,Gia Lai,Xã Chư Prông,Tỉnh Gia Lai,Tây Nguyên,Gia Lai
C.BNI0283,21.192055,106.301521,Yen Dung,Bắc Ninh,Xã Đồng Việt,Tỉnh Bắc Ninh,,
C.HPH7001,20.837831,106.200035,Binh Giang,Hải Dương,Xã Thượng Hồng,Thành phố Hải Phòng,,
C.PTH7002,21.362259,105.571571,Tam Duong,Vĩnh Phúc,Xã Tam Dương,Tỉnh Phú Thọ,,
C.HPH0348,20.923357,106.337669,Hai Duong,Hải Dương,Phường Tân Hưng,Thành phố Hải Phòng,,
C.HPH7002,20.823179,106.685158,Le Chan,Hải Phòng,Phường An Biên,Thành phố Hải Phòng,,
C.NBI7001,20.270752,105.945473,Ninh Bình,Ninh Bình,Phường Hoa Lư,Tỉnh Ninh Bình,,
C.HNO7003,20.92804,105.637466,Chuong My,Hà Nội	,Xã Phú Nghĩa,Thành phố Hà Nội,,
C.HYE0325,20.726246,106.054245,Kim Dong,Hưng Yên,Xã Hiệp Cường,Tỉnh Hưng Yên,,
C.HCM1292,10.793083,106.588501,Binh Tan,Ho Chi Minh,Phường Bình Tân,Thành phố Hồ Chí Minh,HCM,Lư Diệu Thuận
C.QNG0098,14.720722,107.778503,Dak To,Kon Tum,Xã Ngọk Tụ,Tỉnh Quảng Ngãi,Tây Nguyên,Kom Tum
C.HPH0359,20.925373,106.338318,Hai Duong,Hải Dương,Phường Tân Hưng,Thành phố Hải Phòng,,
C.HPH0362,20.93751,106.313766,Hai Duong,Hải Dương,Phường Lê Thanh Nghị,Thành phố Hải Phòng,,
C.HNO1903,20.72628,105.707153,My Duc,Hòa Bình,Xã Hồng Sơn,Thành phố Hà Nội,,
C.TNG0213,21.390047,105.919037,Pho Yen,Thái Nguyên,Phường Vạn Xuân,Tỉnh Thái Nguyên,,
C.QBI0100,17.724272,106.43911,Ba Don,Quảng Bình,Phường Bắc Gianh,Tỉnh Quảng Trị,,
C.QNI3472,21.00551,107.290901,Cam Pha,Quảng Ninh,Phường Cẩm Phả,Tỉnh Quảng Ninh,,
C.THO0501,19.704411,105.826233,Quang Xuong,Thanh Hóa,Xã Quảng Ninh,Tỉnh Thanh Hoá,,
C.LCA0193,22.340553,103.835007,Sa Pa,Lào Cai,Phường Sa Pa,Tỉnh Lào Cai,,
C.BNI7001,21.359394,106.354004,Luc Nam,Bắc Giang,Xã Bảo Đài,Tỉnh Bắc Ninh,,
C.HNO7004,21.069736,105.88147,Long Bien,Hà Nội	,Phường Việt Hưng,Thành phố Hà Nội,,
C.TNG0221,21.643389,105.813057,Thai Nguyen,Thái Nguyên,Phường Linh Sơn,Tỉnh Thái Nguyên,,
C.PTH7003,21.248837,105.531181,Vinh Tuong,Vĩnh Phúc,Xã Vĩnh Tường,Tỉnh Phú Thọ,,
C.CMA7001,9.003311,105.187042,Dam Doi,Cà Mau,Xã Đầm Dơi,Tỉnh Cà Mau,Mtay,Hứa Minh Trang
C.LSO0073,21.748373,107.007858,Loc Binh,Lạng Sơn,Xã Khuất Xá,Tỉnh Lạng Sơn,,
C.HCM1221,10.896156,106.630814,Hoc Mon,Ho Chi Minh,Xã Đông Thạnh,Thành phố Hồ Chí Minh,HCM,Som Thanh Hiền
C.QNI0314,21.105524,106.725388,Uong Bi,Quảng Ninh,Phường Yên Tử,Tỉnh Quảng Ninh,,
C.QNI0316,20.956924,107.151749,Ha Long,Quảng Ninh,Phường Hà Tu,Tỉnh Quảng Ninh,,
C.HNO1944,20.968679,105.766953,Ha Dong,Hà Nội	,Phường Hà Đông,Thành phố Hà Nội,,
C.LSO0077,21.87237,106.759872,Cao Loc,Lạng Sơn,Phường Kỳ Lừa,Tỉnh Lạng Sơn,,
C.DNI0488,11.510687,106.893433,Dong Xoai,Bình Phước,Phường Bình Phước,Thành phố Đồng Nai,DNI-BPH,Thái Bảo
C.DLA7001,12.810275,108.315468,Buon Ho,Đắk Lắk,Xã Ea Drông,Tỉnh Đắk Lắk,Tây Nguyên,Đắk Lắk
C.KGI0126,10.179917,104.001724,Phu Quoc,Kiên Giang,Đặc khu Phú Quốc,Tỉnh An Giang,Mtay,Hồng Phát
C.KGI0143,10.043129,104.017014,Phu Quoc,Kiên Giang,Đặc khu Phú Quốc,Tỉnh An Giang,Mtay,Hồng Phát
C.KGI0142,10.075631,104.017975,Phu Quoc,Kiên Giang,Đặc khu Phú Quốc,Tỉnh An Giang,Mtay,Hồng Phát
C.QNI0315,20.966372,107.082993,Ha Long,Quảng Ninh,Phường Cao Xanh,Tỉnh Quảng Ninh,,
C.CTH0108,9.82411,105.823898,Nga Bay,Hậu Giang,Phường Ngã Bảy,Thành phố Cần Thơ,Mtay,Huỳnh Minh Triều
C.LCH0049,22.358904,103.248154,Sin Ho,Lai Châu,Xã Sìn Hồ,Tỉnh Lai Châu,,
C.HCM1267,10.857253,106.699104,Quan 12,Ho Chi Minh,Phường An Phú Đông,Thành phố Hồ Chí Minh,HCM,Trương Gia Kiệt
C.KHO0181,11.906295,109.147537,Cam Ranh,Khánh Hòa,Phường Cam Linh,Tỉnh Khánh Hoà,Tây Nguyên,Khánh Hòa
C.NAN0246,18.746481,105.52523,Nam Dan,Nghệ An,Xã Đại Huệ,Tỉnh Nghệ An,,
